A PRE-ACHAEMENID HISTORY OF PERSIA,"['CAMERON, GEORGE GLENN']",1,1932,"['Asian History', 'History']","['History', 'Asian history']",['Social sciences'],,,
A STUDY OF THE ACTION OF THE GRIGNARD REAGENT ON AROMATIC OXIMES,"['CAMPBELL, KENNETH NIELSON']",1,1932,['Organic chemistry'],['Organic chemistry'],['Pure sciences'],,,
PLANT SUCCESSION AND GRAZING CAPACITY ON CLAY SOILS IN SOUTHERN NEW MEXICO,"['CAMPBELL, ROBERT SAMUEL']",0,1932,['Agronomy'],['Agronomy'],['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,BOTANY
"THE READING NEEDS OF TYPICAL STUDENT GROUPS, WITH SPECIAL ATTENTION TO FACTORS CONTRIBUTING TO THE SATISFACTION OF READING INTERESTS","['CARNOVSKY, LEON']",1,1932,"['Reading instruction', 'Library science']","['Literacy', 'Reading instruction', 'Library science']","['Communication and the arts', 'Education']",,,
ROMAN RELIGION AS SEEN IN PLINY'S NATURAL HISTORY,"['CASPAR, JACOB WILLIAM']",1,1932,['Theology'],['Theology'],"['Philosophy, religion and theology']",,DIVISION OF THE HUMANITIES,LATIN
THE CZECH NATIONAL REVIVAL. A SURVEY OF THE CULTURAL AND POLITICAL HISTORY OF THE CZECHS FROM 1815-1870 (CZECHOSLOVAKIA),"['CHADA, JOSEPH']",1,1932,['European history'],['European history'],['Social sciences'],,DIVISION OF SOCIAL SCIENCES,HISTORY
THE ACTION OF ELECTROLYTES OF NERVE RESPIRATION,"['CHANG, TSUNG HAN']",1,1932,['Physiology'],['Physiology'],['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,PHYSIOLOGY
"EMPLOYED BOYS AND GIRLS OF ROCHESTER AND UTICA, NEW YORK","['CHANNING, ALICE']",1,1932,['Sociology'],['Sociology'],['Social sciences'],,THE GRADUATE SCHOOL OF SOCIAL SERVICE ADMINISTRATION,
NON-DRAMATIC SOURCES FOR THE ROGUES IN MIDDLETON'S PLAYS (THOMAS MIDDLETON),"['CHRISTIAN, MILDRED GAYLER']",137,1932,['British and Irish literature'],"['British and Irish literature', 'British & Irish literature']","['Language, literature and linguistics']",,,
SCATTERING OF X-RAYS FROM SOLIDS,"['COVEN, ALLEN WILLIS']",0,1932,['Physics'],['Physics'],['Pure sciences'],,,
THE ARTERIAL PATTERN OF THE TUNICA MUCOSA OF THE MACACUS RHESUS UTERUS,"['DARON, GARMAN HARLOW']",1,1932,['Morphology'],"['Anatomy & physiology', 'Morphology']",['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,Anatomy
SPECIFIC VALUES OF EDUCATIONAL FILMS USED AS SUPPLEMENTARY AIDS,"['DAVIS, HELEN CALDWELL']",190,1932,['Educational technology'],['Educational technology'],['Education'],,DIVISION OF SOCIAL SCIENCES,Education
THE RELATIONSHIP OF THE ADRENAL AND THYROID GLANDS TO EXCISED MUSCLE METABOLISM,"['DAVIS, JAMES ERNEST']",1,1932,['Physiology'],"['Anatomy & physiology', 'Animals']",['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,MEDICINE
ROBERT HARLEY AS SECRETARY OF STATE 1704--1708,"['DAVIS, JOHN HENRY']",233,1932,['American history'],['American history'],['Social sciences'],,,
"THE INFLUENCE OF EDWARD KELLOGG UPON AMERICAN RADICALISM, 1865-1896","['DESTLER, CHESTER MCARTHUR']",0,1932,['Economic history'],['Economic history'],['Social sciences'],,,
"EL MARTIRIO DE SAINT LORENCIO, COMEDIA Y AUTO: AN EDITION OF A SIXTEENTH CENTURY SPANISH MANUSCRIPT","['DILLINGHAM, MARY JULIA WALL']",1,1932,['Romance literature'],['Romance literature'],"['Language, literature and linguistics']",,DIVISION OF THE HUMANITIES,ROMANCE LANGUAGES
"THE ORGANIZATION AND CONSERVING FORCE OF THE CHURCH IN SOCIAL CHANGE IN SOUTH HOLLAND, ILLINOIS","['DODSON, LINDEN SEYMOUR']",252,1932,['Theology'],['Theology'],"['Philosophy, religion and theology']",,,
"THE LATINITY OF THE ""CHRONICA"" OF REGINO OF PRUEM","['DORMAN, OLIVIA NELSON']",1,1932,"['Classical literature', 'Classical Studies']","['Classical studies', 'Classical literature']","['Language, literature and linguistics']",,DIVISION OF THE HUMANITIES,LATIN
I. SERUM REACTIONS PRODUCED BY FEEDING ANTIGENS. II. THE LENGTH OF SURVIVAL OF PARATYPHOID BACILLI IN FOODSTUFFS,"['DOYLE, LEO PHILIP']",11,1932,"['Microbiology', 'Immunology', 'Pathology']","['Microbiology', 'Immunology', 'Pathology']","['Health and environmental sciences', 'Biological sciences']",,DIVISION OF BIOLOGICAL SCIENCES,HYGIENE AND BACTERIOLOGY
SILURIAN FORAMINIFERA OF THE MISSISSIPPI BASIN,"['DUNN, PAUL HEANY']",0,1932,['Geology'],['Geology'],['Earth sciences'],,DIVISION OF PHYSICAL SCIENCES,GEOLOGY AND PALEONTOLOGY
STATE REGULATION OF PUBLIC UTILITIES IN NEBRASKA: A STUDY OF THE NEBRASKA STATE RAILWAY COMMISSION,"['DURISCH, LAWRENCE LOGAN']",0,1932,['Public administration'],['Public administration'],['Social sciences'],,,
STUDIES IN NEMESIUS,"['EINARSON, BENEDICT']",142,1932,['Philosophy'],"['Religion', 'Philosophy']","['Philosophy, religion and theology']",,DIVISION OF THE HUMANITIES,GREEK
A STUDY OF THE ADJUSTMENT PROBLEMS OF FRESHMEN IN A CHURCH COLLEGE,"['EMME, EARLE EDWARD']",1,1932,['Educational psychology'],['Educational psychology'],['Education'],,,
CHICAGO PUBLIC MERCHANDISE WAREHOUSES IN DISTRIBUTION (ILLINOIS),"['FEREBEE, ENOCH EMORY']",1,1932,"['American history', 'Economic history']","['American history', 'Economic history']",['Social sciences'],,,
THE VEGETATION OF THE GREAT SALT LAKE REGION,"['FLOWERS, SEVILLE']",135,1932,['Botany'],['Botany'],['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,BOTANY
Studies in America's News of the European War,"['Foster, Harry Schuyler, Jr.']",362,1932,['Political science'],['Political science'],['Social sciences'],,DIVISION OF SOCIAL SCIENCES,POLITICAL SCIENCE
A STUDY OF DIGITALIS PREPARATIONS AND THEIR STANDARDIZATION BY THE CAT AND FROG METHODS,"['FOSTER, ROBERT HENRY KING']",1,1932,['Pharmacology'],['Pharmacology'],['Health and environmental sciences'],,DIVISION OF BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY
"THE LONG LAKE DIORITE AND ASSOCIATED ROCKS, SUDBURY DISTRICT, ONTARIO","['FREEMAN, BRUCE CLARK']",1,1932,['Geology'],['Geology'],['Earth sciences'],,DIVISION OF PHYSICAL SCIENCES,GEOLOGY AND PALEONTOLOGY
"A LEXICOGRAPHICAL STUDY OF ""WIDUKINDI RES GESTAE SAXONICAE""","['GAMER, HELENA MARGARET']",1,1932,['Ancient languages'],['Ancient languages'],"['Language, literature and linguistics']",,DIVISION OF THE HUMANITIES,LATIN
THE ALTMANN TECHNIQUE FOR FIXATION BY DRYING WHILE FREEZING,"['GERSH, ISIDORE']",0,1932,['Biology'],['Biology'],['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,ANATOMY
PAUL'S ETHICAL VOCABULARY,"['GINGRICH, FELIX WILBUR']",0,1932,['Theology'],['Theology'],"['Philosophy, religion and theology']",,DIVISION OF THE HUMANITIES,NEW TESTAMENT
SURFACES ASSOCIATED WITH A CONGRUENCE,"['GORE, GREENVILLE D.']",0,1932,['Mathematics'],['Mathematics'],['Pure sciences'],,DIVISION OF PHYSICAL SCIENCES,MATHEMATICS
A STUDY OF THE ABELIAN INTEGRALS AND A RIEMANN SURFACE ASSOCIATED WITH THE ALGEBRAIC FUNCTION W('4) - 2AZW('2) - 2Z('2)W + A('2)Z('2) = 0,"['GORE, GREENVILLE D.']",1,1932,['Mathematics'],['Mathematics'],['Pure sciences'],,,
The anatomy of the primary body of <i>Raphanus sativus </i> L.,"['Grassley, Frances Elizabeth']",20,1932,"['Botany', 'Plant sciences']","['Botany', 'Plant propagation', 'Plant sciences']",['Biological sciences'],,,
EFFECT OF ALTERNATE MOISTENING AND DRYING ON THE GERMINATION OF SEEDS,"['GRISWOLD, SYLVIA MAY']",1,1932,['Botany'],['Botany'],['Biological sciences'],,,
REARRANGEMENT OF TRIPHENYLAMETHYL O-ALKYL HYDROXYLAMINES,"['GUTHMANN, WALTER SIGMUND']",1,1932,['Organic chemistry'],['Organic chemistry'],['Pure sciences'],,DIVISION OF PHYSICAL SCIENCES,CHEMISTRY
THE AMMINES OF CHROMOUS CHLORIDE,"['HAMMOND, EDITH SAWYER']",1,1932,"['Inorganic chemistry', 'Chemistry']","['Chemistry', 'Inorganic chemistry']",['Pure sciences'],,DIVISION OF PHYSICAL SCIENCES,CHEMISTRY
RAT SEMINAL VESICLES AND PROSTATE GLANDS AS QUANTITATIVE INDICATORS OF TESTICULAR HORMONE,"['HANSEN, IRA BOWERS']",1,1932,['Zoology'],['Zoology'],['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,ZOOLOGY
EFFECT OF CUTTING AND FERTILIZER APPLICATIONS ON GRASS DEVELOPMENT,"['HARRISON, CARTER MONROE']",0,1932,['Botany'],['Botany'],['Biological sciences'],,,
LINE SPECTRUM OF SAMARIUM ION IN THE CRYSTAL STATE AND ITS VARIATION WITH TEMPERATURE,"['HARWELL, JOSEPH GEORGE']",1,1932,"['Inorganic chemistry', 'Chemistry']","['Chemistry', 'Inorganic chemistry']",['Pure sciences'],,DIVISION OF PHYSICAL SCIENCES,CHEMISTRY
