Year,Division,Department,Name,Post,Diss_Title,,,,,,,,,,,
1918,THE DIVISION OF THE BIOLOGICAL SCIENCES,PATHOLOGY,EMANUEL BERNARD FINK,"Professor of Pathology, Chicago Dental College, Chicago, Ill.",Antigentic Properties of Proteoses.,,,,,,,,,,,
1918,THE DIVISION OF THE BIOLOGICAL SCIENCES,PATHOLOGY,GLEASON CHANDLER LAKE,"Surgeon, U.S. Public Health Service, Washington, D.C.",Immune Reactions of Proteins of Human Placenta.,,,,,,,,,,,
1919,THE DIVISION OF THE BIOLOGICAL SCIENCES,PATHOLOGY,ESMOND RAY LONG,"Professor of Pathology, University of Chicago, Chicago, Ill.",Some Phases of Normal and Abnormal Purine Metabolism in Man and Domestic Animals.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,PATHOLOGY,ELIZABETH PAULINE WOLF,"(Mrs. N. L. Blitzsten). (Died January 30, 1929.)",Studies on the Chemical Principles of the Reaction of Inflammation.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,PATHOLOGY,LOUIS HENRY BRAAFLADT,"Director of the Laboratory, Trinity Hospital, Minot, S.D.",The Effect of Kaolin on the Intestinal Flora in Normal and Pathological Conditions.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,PATHOLOGY,BERNARD PORTIS,"Adjunct Attending Surgeon, Michael Reese Hospital, Chicago, Ill.","The Rôle of the Omentum of Rabbits, Dogs, and Guinea Pigs in Antibody Production.",,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,PATHOLOGY,JAMES PERSONS SIMONDS,"Professor of Pathology, Northwestern University Medical School, Chicago, Ill.","Leukemias, Pseudoleukemias, and Related Conditions in Mice.",,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,PATHOLOGY,LOUIS LEITER,"Associate Professor of Medicine, University of Chicago, Chicago, Ill.",Experimental Glomerulonephritis.,,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,PATHOLOGY,LOUIS WENDLIN SAUER,"Physician, 636 Church St., Evanston, Ill.",Studies in Hypertrophic Pyloric Stenosis.,,,,,,,,,,,
1931,THE DIVISION OF THE BIOLOGICAL SCIENCES,PATHOLOGY,ARTHUR JOHN VORWALD,"Instructor in Pathology, University of Chicago, Chicago, Ill.",The Cellular Reaction to Infection with Tubercle Bacilli in Animals of Varying Resistance.,,,,,,,,,,,
1906,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,HUGH MCGUIGAN,"Professor of Pharmacology and Therapeutics, University of Illinois College of Medicine, Chicago, Ill.",Oxidations of Various Sugars in the Animal Body.,,,,,,,,,,,
1909,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,HERBERT HORACE BUNZEL,"Professor of Physiological Chemistry, Women's Medical College of Pennsylvania, Philadelphia, Pa.",The Mechanism of the Oxidation of Glucose by Bromine.,,,,,,,,,,,
1912,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,FRED CONRAD KOCH,"Professor of Physiological Chemistry and Chairman of the Department, University of Chicago, Chicago, Ill.",The Nature of the Iodine Complex in Thyreo-Globulin.,,,,,,,,,,,
1912,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,SHIRO TASHIRO,"Professor of Biochemistry, University of Cincinnati Medical School, Cincinnati, Ohio.",Chemical Change in Nerve Fiber during Passage of a Nerve Impulse.,,,,,,,,,,,
1914,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,MARY LOUISE FOSTER,"Associate Professor of Biochemistry, Smith College, Northampton, Mass.",Studies on a Method for the Quantitative Estimation of Certain Groups in Phospholipins.,,,,,,,,,,,
1916,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,MAUD LEONORA MENTEN,"Associate Professor of Pathology, University of Pittsburgh, Pittsburgh, Pa.",Alkalinity of the Blood in Malignant Disease and Other Pathological Conditions.,,,,,,,,,,,
1918,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,LLOYD KENDRICK RIGGS,"Director of Research and Professor of Physiology, New Jersey College of Pharmacy, Rutgers University, Newark, N.J.",The Effect of Salts upon the Metabolism of Nerves.,,,,,,,,,,,
1919,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,ESTHER MAUD GREISHEIMER,"Assistant Professor of Physiology, University of Minnesota, Minneapolis, Minn.","A Quantitative Study of the Effects Produced by Salts of Sodium, Potassium, Rubidium, and Calcium on Motor Nerve of Frog. ",,,,,,,,,,,
1919,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,KARL KONRAD KOESSLER,"(Died February 12, 1928.) ",A Michrochemical Colorimetric Method for Estimating Histidine. A Quantitative Colorimetric Method for the Separation of Histamine and Histidine. The Formation of Histamine by the Decarboxylation of Histidine by Bacillus Coli Communis.,,,,,,,,,,,
1919,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,HOWARD MARTIN SHEAFF,"Physician, 715 Lake Street, Oak Park, Ill.",A Method for the Quantitative Estimation of Minute Amounts of Gaseous Oxygen and Its Application to Tissue Respiration.,,,,,,,,,,,
1919,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,ROGER JOHN WILLIAMS,"Associate Professor of Chemistry, University of Oregon, Eugene, Ore.",The Vitamine Requirement of Yeast. A Simple Biological Test for Vitamine.,,,,,,,,,,,
1921,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,HARRY BENJAMIN VAN DYKE,"Professor of Pharmacology, University of Chicago, Chicago, Ill.",A Study of the Distribution of Iodine in the Thyroid Gland.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,WILLIAM CLARDY AUSTIN,"Professor of Physiological Chemistry and Head of the Department, Loyola University Medical School, Chicago, Ill.",Phospholipins in Yeast.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,ELOISE PARSONS,"(Mrs. William Baker), Assistant Professor of Gynecology, Department of Obstetrics and Gynecology, University of Chicago, Chicago, Ill.",Histamine as a Constituent of Secretin Preparations.,,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,IDA KRAUS ,"(Mrs. Oscar B. Ragins), Instructor in Physiological Chemistry, University of Chicago, Chicago, Ill.",Colorimetric Determination of Tryptophane by the Vanillin-HCL Reaction and the Quantitative Separation from Indol and Skatol.,,,,,,,,,,,
1925,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,HAROLD CLIFFORD GOLDTHORPE,"Professor of Physiological Chemistry, Medical School, University of Utah, Salt Lake City, Utah.",In Vitro Studies on Ammonia and Urea Formation by Tissues.,,,,,,,,,,,
1925,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,REUBEN GILBERT GUSTAVSON,"Professor of Chemistry, University of Denver, Denver, Colo.",A Biochemical Study of the Female Sex Hormone.,,,,,,,,,,,
1925,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,THOMAS LEROY MCMEEKIN,"Department of Physical Chemistry Harvard, Medical School, Boston, Mass.",Studies on the Purification of Pepsin.,,,,,,,,,,,
1925,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,CHARLES WINSTON SAUNDERS,"Head of the Department of Chemistry and Dean, South Georgia A. & M. College, Tifton, Georgia.",The Nutritional Value of Chlorophyll as Related to Hemoglobin Formation.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,MARTHA BELLE FARNUM,"Teacher of Science, 7102 Luella Ave., Chicago, Ill.",The Effect of the Production of Beriberi on Gastric Secretion.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,BEALS ENSIGN LITCHFIELD FRENCH,"Instructor, Chicago Normal College, Chicago, Ill.",Studies on the Purification and Properties of Calves' Rennin. ,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,GRANT MELVIN KLOSTER,"Research Instructor in Physiology, Northwestern University Medical School, Chicago, Ill.","Studies of the Effect of Varying Hydrogen Ion Concentration upon the Activation, Destruction, and Rate of Action of Proteolytic Enzymes in Gastric Mucous Membranes. ",,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,WILBUR RUDOLPH TWEEDY,"Assistant Professor of Physiological Chemistry, Medical School, Loyola University, Chicago, Ill.",Studies on the Plasma Calcium Raising Principle of Bovine Parathyroid Glands.,,,,,,,,,,,
1927,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,GEORGE FRANCIS CARTLAND,"Research Chemist, Upjohn Company, Kalamazoo, Mich.",Studies in the Organic Precursors of Hemoglobin.,,,,,,,,,,,
1927,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,OSCAR MARVIN HELMER,"Research Assistant, Rockefeller Institute, New York City, N.Y.",A Study of Trypsin and Its Activation by Enterokinase.,,,,,,,,,,,
1927,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,LEMUEL CLYDE MCGEE,"Interne, Presbyterian Hospital, Chicago, Ill.",Biological Activity of Testicular Extracts.,,,,,,,,,,,
1927,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,JOSEPH ADOLPH TUTA,"Physician, 1401 Oak Hill Ave., Youngstown, Ohio.",Studies on the Oxidation-Reduction Potential of Blood.,,,,,,,,,,,
1928,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,SAMUEL BRODY,"Associate Professor of Dairy Husbandry, University of Missouri, Columbia, Mo.",The Kinetics of Growth and Senescence.,,,,,,,,,,,
1928,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,FELIX WADSWORTH SAUNDERS,"Instructor in Physiological Chemistry, University of Chicago, Chicago, Ill.",A Study of the Combination between Dyes and Proteins by Optical Methods.,,,,,,,,,,,
1928,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,MAURICE HARRISON SEEVERS,"Assistant Professor of Pharmacology, University of Wisconsin, Madison, Wis.",Acute and Chronic Narcotic Drug Poisoning.,,,,,,,,,,,
1928,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,RALPH GRAFTON SMITH,"Assistant Professor of Pharmacology, University of Michigan, Ann Arbor, Mich.",Chronic Cyanide Poisoning.,,,,,,,,,,,
1928,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,EUGENE UPDYKE STILL,"Assistant Professor of Physiology, University of Chicago, Chicago, Ill.",Studies on the Nutritional Value of Yeast Proteins for the Albino Rat.,,,,,,,,,,,
1929,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,CHESTER DAVIS,"Douglas Smith Fellow, Department of Surgery, University of Chicago, Chicago, Ill.",Studies on the Organic Chlorides of Tissues.,,,,,,,,,,,
1929,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,EDWARD LARSON,"Assistant Professor, Department of Physiology, School of Medicine, University of Alabama, University, Ala.",Biochemical Studies on the Oxytocic Principle of Pituitary Gland.,,,,,,,,,,,
1930,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,FRED EDMUND D'AMOUR,"Assistant Professor in Physiology, University of Denver, Denver, Colo.",A Biochemical Study of the Female Sex Hormone.,,,,,,,,,,,
1930,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,ARCHIBALD ROSS MCINTYRE,"Instructor in Pharmacology, University of Chicago, Chicago, Ill.",The Mechanism of the Action of Extract of the Posterior Lobe of the Pituitary Body on the Secretion of Urine in the Unanaesthetized Dog.,,,,,,,,,,,
1930,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,LEO TOLSTOY SAMUELS,"W. K. Kellogg Foundation, White Memorial Hospital, Los Angeles, Calif.",A Study of the Heat Labile and Heat Stable Fractions of Vitamin B in Raw and Evaporated Milk.,,,,,,,,,,,
1931,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY,MILNOR RICHMOND FREELAND,"Biochemist, Presbyterian Hospital, Chicago, Ill.",The Preparation and Assay of Pepsin.,,,,,,,,,,,
1896,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,ELIZABETH COOKE,"San Diego Normal School, San Diego, Calif.",Investigations in the Osmotic Properties of the Muscle.,,,,,,,,,,,
1896,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,SAMUEL STEEN MAXWELL,"Professor Emeritus of Physiology, University of California, Berkeley, Calif.",Contributions to the Nerve Physiology of Annelids.,,,,,,,,,,,
1897,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,ELIAS POTTER LYON,"Professor of Physiology and Dean of Medical School, University of Minnesota, Minneapolis, Minn.",A Contribution to Animal Geotropism.,,,,,,,,,,,
1897,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,JEANNETTE CORA WELCH,"(Died December, 1906.)",On the Measurement of Mental Activity through Muscular Activity.,,,,,,,,,,,
1898,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,WILLIAM DOUWES ZOETHOUT,"Head of the Department of Physiology, Chicago College of Dental Surgery, Chicago, Ill.",The Physiological Effects of High Temperatures and Lack of Oxygen upon Lower Organisms.,,,,,,,,,,,
1899,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,WESLEY WALKER NORMAN,"(Died June, 1899.)",The Reaction of Lower Animals upon Injuries and the Theory of Pain Sensations.,,,,,,,,,,,
1900,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,WALTER EUGENE GARREY,"Professor of Physiology, Vanderbilt University School of Medicine, Nashville, Tenn.",The Effect of Ions upon the Aggregation of Infusoria.,,,,,,,,,,,
1901,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,ANNE MOORE,"Writer, 127 S. Miles St., Huntington Park, Calif.",The Effect of Electrolytes on Rigor Mortis.,,,,,,,,,,,
1902,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,ARTHUR WHITE GREELEY,"(Died March, 1904.)",Studies on the Effects of Low Temperatures upon Morphogenetic Processes.,,,,,,,,,,,
1902,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,CHARLES HUGH NEILSON,"Professor of Medicine, St. Louis University, St. Louis, Mo.",The Hydrolysis and Synthesis of Fats by Platinum Black.,,,,,,,,,,,
1902,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,RALPH WALDO WEBSTER,"(Died July 2, 1930.)",On Osmotic and Ionic Effects in the Absorption of Liquids by Animal Tissues.,,,,,,,,,,,
1905,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,ORVILLE HARRY BROWN,"Physician, 2026 N. Third St., Phoenix, Ariz.",The Effects of Certain Salts on Kidney Excretion with Special Reference to Glycosuria.,,,,,,,,,,,
1905,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,RUSSELL BURTON OPITZ,"Associate in Medicine, New York Post Graduate Medical School; Attending Physician, Unity Hospital, Brooklyn, N.Y.",The Periodic and Irregular Variations in the Venous Blood-Flow.,,,,,,,,,,,
1907,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,CHARLES CLAUDE GUTHRIE,"Professor of Physiology and Pharmacology, University of Pittsburgh, Pittsburgh, Pa.",The Relation of Pressure in the Coronary Vessels to the Activity of the Isolated Heart and Some Closely Related Problems.,,,,,,,,,,,
1907,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,FRANK HENRY PIKE,"Laboratory for Experimental Neurology, College of Physicians and Surgeons, Columbia University, New York, N.Y.","The Resuscitation of the Respiratory and Other Bulbar Nervous Mechanisms, with Special Reference to the Question of Their Automaticity.",,,,,,,,,,,
1908,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,WALES HARRISON PACKARD,"Professor and Head of the Department of Biology, Bradley Polytechnic Institute, Peoria, Ill.",On Resistance to Lack of Oxygen in Animals.,,,,,,,,,,,
1909,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,FRANK CHRISTIAN BECHT,"Physician, Berwyn, Ill.",The Concentration of Hemopsonins and Related Hadeis in the Various Body Fluids of Normal and Immune Animals.,,,,,,,,,,,
1909,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,JAMES RICHARD GREER,"Assistant Clinical Professor of Medicine, University of Chicago, Chicago, Ill.",The Concentration of Bacterial Opsonins and Related Bodies in the Various Body Fluids of Normal and Immune Animals.,,,,,,,,,,,
1909,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,WALTER JOSEPH MEEK,"Professor of Physiology, University of Wisconsin, Madison, Wis.",Physiological Restoration and Anatomical Regeneration of the Small Intestine after Transection.,,,,,,,,,,,
1911,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,CLYDE RICHARD BROOKS,"Professor of Physiology and Dean of the Medical School, University of Alabama, University, Ala.",The Effect of Lesions of the Dorsal Nerves on the Reflex Excitability of the Spinal Cord.,,,,,,,,,,,
1911,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,ARNO BENEDICT LUCKHARDT,"Professor of Physiology, University of Chicago, Chicago, Ill.",The Relation of the Spleen to the Fixation of Antigens and the Production of Immune Bodies.,,,,,,,,,,,
1913,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,OLE OLUFSON STOLAND,"Professor of Physiology, University of Kansas, Lawrence, Kan.",The Influence of Parathyroid Tetany on the Liver and the Pancreas.,,,,,,,,,,,
1913,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,ARTHUR LAWRIE TATUM,"Professor of Pharmacology, University Wisconsin, Madison, Wis.",Studies in Experimental Cretinism.,,,,,,,,,,,
1914,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,CHARLES EDWIN KING,"Associate Professor of Physiology, Vanderbilt University, Nashville, Tenn.",The Origin of the Diastases of the Blood and the Lymph.,,,,,,,,,,,
1915,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,HARVEY RAYMOND BASINGER,"Physician, Mountain Lake, Minn.",The Control of Experimental Cretinism.,,,,,,,,,,,
1915,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,WALTER LEE GAINES,"Professor of Milk Production, University of Illinois, Urbana, Ill.",A Contribution to the Physiology of Lactation.,,,,,,,,,,,
1915,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,FRANKLIN CHAMBERS MCLEAN,"Professor of Medicine and Director of the University Clinics, University of Chicago, Chicago, Ill.",The Laws Governing the Rate of Excretion of Urea and Chlorides in Man.,,,,,,,,,,,
1916,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,CLARA JACOBSON,"Physician, 7556 Saginaw Ave., Chicago, Ill.",Studies on the Physiology of the Parathyroid Glands.,,,,,,,,,,,
1916,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,FRED TERRY ROGERS,"Professor of Physiology, Baylor University Medical College, Dallas, Tex.",The Hunger Mechanism of the Pigeon and Its Relation to the Central Nervous System.,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,GEORGE EMANUEL BURGET,"Professor and Head of the Department of Physi ology, University of Oregon Medical School, Portland, Ore.",An Attempt to Produce Experimental Thyroid Hyperplasia.,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,MAURICE HOLMES REES,"Professor and Head of the Department of Physiology and Dean of School of Medicine, University of Colorado, Boulder, Colo., 4200 E. 9th Ave., Denver, Colo.",The Influence of Pituitary Extract on the Daily Output of Urine.,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,GEORGE FRED SUTHERLAND,"(Died August 16, 1925.)",Studies on Gastric Secretion.,,,,,,,,,,,
1918,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,ANDREW CONWAY IVY,"Professor of Physiology, Northwestern University Medical School, Chicago, Ill.",Studies in Gastric Ulcer. 1. The Occurrence of Ulcer and Other Pathological Conditions in the Stomach and Duodenum of the Dog. 2. The Experimental Production of Chronic Ulcer. 3. The Relation of the Location of the Ulcer to Motility. 4. Is the Hypermotility of the Stomach in Duodenal Ulcer of Extrinsic or Intrinsic Origin?,,,,,,,,,,,
1919,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,EMMA ANNA KOHMAN,"(Mrs. A. C. Ivy), 7941 Clyde Ave., Chicago, Ill.",The Experimental Production and Control of Hunger Edema.,,,,,,,,,,,
1920,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,LESTER REYNOLD DRAGSTEDT,"Professor of Surgery, University of Chicago, Chicago, Ill.",Studies in Acute Intestinal Obstruction.,,,,,,,,,,,
1920,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,THOMAS LEON PATTERSON,"Professor and Head of the Department of Physiology, Detroit College of Medicine and Surgery, Detroit, Mich.",Studies on Gastric Hunger Contractions in Amphibia and Reptilia.,,,,,,,,,,,
1920,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,BERNARD RAYMUND,"Indian Run Farm, Dublin, Ohio.",Alkali Reserve in Experimental Surgical Shock.,,,,,,,,,,,
1921,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,RALPH WALDO GERARD,"Associate Professor of Physiology, University of Chicago, Chicago, Ill.",The Presence and Significance of Histamine in an Obstructed Bowel.,,,,,,,,,,,
1921,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,GEORGE ADDISON TALBERT,"Professor and Head of Department of Physiology, University of North Dakota, Fargo, N.D.",The Hydrogen Ion Concentration of Human Sweat. The Ash of Human Sweat Produced by Heat and Work.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,HELEN BOURQUIN,"Instructor in Pharmacology, University of Michigan, Ann Arbor, Mich.",A Study on the Permeability of the Placenta.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,THEODORE ELLIOTT BOYD,"Assistant Professor of Physiology, Loyola University, Chicago, Ill.",The Influence of Alkalies on the Secretion and Composition of Gastric Juice.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,CARL ALBERT DRAGSTEDT,"Professor of Pharmacology, Northwestern University Medical School, Chicago, Ill.",Studies in Intestinal Obstruction.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,NELSON FRANKLIN FISHER,"Physician, 30 North Michigan Boulevard, Chicago, Ill.",Studies on the Pancreatic Hormone.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,NATHANIEL KLEITMAN,"Associate Professor of Physiology and Secretary of the Department, University of Chicago, Chicago, Ill.",Studies on the Physiology of Sleep.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,MARGARETE META HEDWIG KUNDE,"Assistant Professor of Physiology, University of Chicago, Chicago, Ill.",The After Effects of Prolonged Fasting on the Basal Metabolic Rate.,,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,NELLES BOYD LAUGHTON,"Assistant Professor of Physiology, University of Western Ontario, London, Ontario.",Studies on the Nervous Regulation of Progression in Mammals.,,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,J. FRANK PEARCY,"Physician, 941 Park Ave., New York, N.Y.",Reflexes from the Colon.,,,,,,,,,,,
1925,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,ZACHARIAS BERCOVITZ,"Physician, Andong, Corea.",Studies on the Motility of the Denervated Heidenhain Pouch.,,,,,,,,,,,
1925,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,FREDERIC THEODORE JUNG,"Assistant Professor of Physiology, Northwestern University Medical School, Chicago, Ill.",On the Existence of a Parathyroid Hormone.,,,,,,,,,,,
1925,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,CARLOS ISAAC REED,"Assistant Professor of Physiology, University of Illinois Medical School, Chicago, Ill.",Studies on the Physiological Action of Light.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,ORPHEUS WILLIAM BARLOW,"Instructor in Pharmacology, Western Reserve University, Cleveland, Ohio.","A Comparison of the Pancreatic Secretagogue Efficiency of Various Standard Secretins, Sodium Nitrite, Peptone, and Pilocarpine.",,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,HSI CHUN CHANG,"Instructor in Pharmacology, Peking Union Medical College, Peking, China.",Studies in the Physiology of the Thyroid Glan.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,EDMUND JOSEPH JURICA,"Professor of Zoology, St. Procopius College, Lisle, Ill.",Studies on the Motility of the Denervated Mammalian Esophagus.,,,,,,,,,,,
